tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,churn
2,88.82,170.51,Two-Year,No,Electronic_Check,Yes
14,105.46,1444.36,Two-Year,DSL,Electronic_Check,Yes
36,113.7,4199.97,One-Year,Fiber_Optic,Mailed_Check,No
39,20.32,762.69,One-Year,DSL,Mailed_Check,No
7,71.38,499.12,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
52,109.27,5855.93,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
3,51.56,152.27,Two-Year,DSL,Bank_Transfer,No
70,65.79,4625.61,Month-to-Month,Fiber_Optic,Bank_Transfer,No
7,87.22,599.27,Two-Year,Fiber_Optic,Electronic_Check,Yes
38,47.79,1842.37,Two-Year,No,Electronic_Check,No
38,110.84,4407.63,Month-to-Month,No,Credit_Card,No
15,38.31,593.13,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
45,75.75,3564.64,Month-to-Month,DSL,Electronic_Check,No
17,78.49,1386.85,Two-Year,DSL,Electronic_Check,No
16,91.17,1440.25,Month-to-Month,DSL,Bank_Transfer,Yes
1,90.02,89.21,One-Year,Fiber_Optic,Electronic_Check,Yes
65,70.79,4642.36,One-Year,DSL,Mailed_Check,No
31,51.91,1673.33,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
13,93.86,1165.97,Month-to-Month,No,Credit_Card,Yes
57,99.94,5790.94,Month-to-Month,DSL,Electronic_Check,No
31,90.26,2777.22,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
52,84.67,4431.88,Month-to-Month,DSL,Electronic_Check,Yes
46,86.01,4001.9,Month-to-Month,No,Mailed_Check,Yes
22,91.09,1933.95,One-Year,Fiber_Optic,Mailed_Check,Yes
45,36.64,1687.7,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
6,43.01,254.71,One-Year,Fiber_Optic,Electronic_Check,No
15,81.14,1227.32,One-Year,Fiber_Optic,Mailed_Check,No
30,33.55,1047.18,One-Year,Fiber_Optic,Electronic_Check,No
14,113.95,1597.71,Two-Year,Fiber_Optic,Bank_Transfer,No
42,87.24,3579.17,Month-to-Month,DSL,Electronic_Check,Yes
19,106.66,2072.38,Two-Year,DSL,Electronic_Check,Yes
35,66.88,2342.78,Month-to-Month,No,Electronic_Check,Yes
41,41.96,1750.28,Two-Year,DSL,Electronic_Check,No
68,66.85,4360.84,Two-Year,No,Mailed_Check,No
60,97.26,5775.95,One-Year,Fiber_Optic,Credit_Card,No
54,37.84,1982.72,One-Year,No,Credit_Card,No
13,94.26,1195.07,Month-to-Month,DSL,Bank_Transfer,Yes
15,45.91,682.71,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
35,103.48,3567.97,Month-to-Month,Fiber_Optic,Bank_Transfer,No
12,39.73,464.04,Two-Year,DSL,Electronic_Check,Yes
16,50.05,767.83,Two-Year,Fiber_Optic,Bank_Transfer,No
13,29.08,388.99,Month-to-Month,Fiber_Optic,Credit_Card,Yes
56,23.08,1285.05,Month-to-Month,No,Electronic_Check,No
12,54.23,678.65,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
29,62.41,1789.89,Month-to-Month,DSL,Mailed_Check,Yes
4,25.75,104.09,One-Year,Fiber_Optic,Bank_Transfer,No
11,28.01,309.19,Two-Year,DSL,Credit_Card,Yes
8,103.09,804.01,Month-to-Month,DSL,Credit_Card,Yes
48,76.9,3524.78,Month-to-Month,No,Electronic_Check,No
69,57.75,4173.02,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
39,27.09,1046.76,Two-Year,Fiber_Optic,Bank_Transfer,No
1,71.28,71.19,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
48,75.45,3780.85,Month-to-Month,DSL,Mailed_Check,Yes
14,47.29,657.23,One-Year,DSL,Electronic_Check,No
16,98.9,1528.09,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
22,65.34,1439.61,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
19,42.22,808.22,Month-to-Month,DSL,Electronic_Check,No
11,100.12,1070.4,Month-to-Month,DSL,Credit_Card,Yes
23,91.48,2028.89,One-Year,DSL,Mailed_Check,No
13,73.96,940.99,One-Year,Fiber_Optic,Electronic_Check,No
60,98.36,5673.92,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
17,42.16,701.81,Two-Year,Fiber_Optic,Mailed_Check,No
21,64.2,1348.32,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
20,54.16,1126.37,Two-Year,Fiber_Optic,Electronic_Check,No
49,51.83,2466.01,One-Year,Fiber_Optic,Mailed_Check,No
20,73.9,1407.77,Two-Year,DSL,Mailed_Check,No
45,22.81,990.09,One-Year,Fiber_Optic,Bank_Transfer,No
25,36.69,951.71,One-Year,Fiber_Optic,Credit_Card,No
48,82.88,3856.8,One-Year,DSL,Mailed_Check,Yes
28,35.51,988.44,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
32,100.3,3277.37,Month-to-Month,No,Mailed_Check,Yes
37,41.72,1497.51,Month-to-Month,DSL,Mailed_Check,Yes
54,70.15,3802.1,Month-to-Month,Fiber_Optic,Mailed_Check,No
17,47.66,782.18,One-Year,Fiber_Optic,Bank_Transfer,Yes
35,64.19,2174.8,Month-to-Month,No,Electronic_Check,No
21,31.51,654.31,Month-to-Month,DSL,Electronic_Check,No
19,33.15,651.9,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
20,64.16,1327.59,Month-to-Month,DSL,Electronic_Check,Yes
36,79.25,2922.69,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
37,77.59,2829.27,Month-to-Month,No,Mailed_Check,Yes
49,90.37,4218.43,Two-Year,No,Bank_Transfer,No
39,92.48,3433.62,One-Year,DSL,Bank_Transfer,No
9,75.02,696.26,Two-Year,DSL,Electronic_Check,Yes
37,56.04,1994.61,Month-to-Month,DSL,Credit_Card,Yes
52,113.39,6088.81,Month-to-Month,DSL,Electronic_Check,Yes
53,73.78,4042.66,Two-Year,Fiber_Optic,Credit_Card,No
37,48.26,1867.89,Two-Year,DSL,Mailed_Check,Yes
23,75.5,1807.47,One-Year,Fiber_Optic,Mailed_Check,No
65,86.51,5620.15,Month-to-Month,DSL,Mailed_Check,No
30,41.11,1258.52,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
38,108.37,4261.84,One-Year,Fiber_Optic,Electronic_Check,No
26,104.19,2837.86,Month-to-Month,DSL,Electronic_Check,Yes
63,74.85,4623.27,Month-to-Month,No,Electronic_Check,No
51,83.96,4207.8,Two-Year,No,Electronic_Check,No
13,46.95,597.87,One-Year,Fiber_Optic,Electronic_Check,No
23,74.07,1676.19,One-Year,DSL,Electronic_Check,No
10,50.94,526.52,One-Year,DSL,Bank_Transfer,No
63,54.25,3279.38,One-Year,DSL,Mailed_Check,No
36,54.18,2015.11,One-Year,DSL,Bank_Transfer,No
30,42.6,1337.77,Month-to-Month,No,Mailed_Check,No
1,39.22,39.31,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
46,68.53,3231.57,Month-to-Month,DSL,Electronic_Check,No
36,32.03,1166.1,One-Year,DSL,Bank_Transfer,Yes
17,34.17,604.3,One-Year,Fiber_Optic,Electronic_Check,No
8,96.54,810.12,Month-to-Month,Fiber_Optic,Credit_Card,Yes
16,75.45,1162.14,One-Year,Fiber_Optic,Electronic_Check,Yes
60,93.24,5518.24,Month-to-Month,DSL,Electronic_Check,Yes
66,44.79,2895.35,Two-Year,No,Mailed_Check,No
55,98.56,5325.02,Two-Year,No,Bank_Transfer,No
50,86.27,4157.17,Month-to-Month,No,Bank_Transfer,Yes
33,100.48,3473.7,Month-to-Month,No,Credit_Card,No
50,107.1,5466.74,Month-to-Month,DSL,Credit_Card,Yes
10,91.43,943.85,Two-Year,Fiber_Optic,Credit_Card,No
54,39.7,2182.59,One-Year,Fiber_Optic,Electronic_Check,No
58,22.48,1287.71,Two-Year,Fiber_Optic,Electronic_Check,No
52,21.34,1080.85,One-Year,Fiber_Optic,Credit_Card,No
71,34.15,2368.44,Month-to-Month,Fiber_Optic,Credit_Card,No
11,42.2,472.25,Two-Year,DSL,Mailed_Check,Yes
37,94.74,3483.3,Month-to-Month,DSL,Electronic_Check,Yes
7,27.38,198.59,Month-to-Month,DSL,Credit_Card,Yes
24,78.57,1914.82,Month-to-Month,DSL,Credit_Card,No
27,103.86,2855.69,Two-Year,DSL,Electronic_Check,No
30,34.56,1078.1,One-Year,Fiber_Optic,Electronic_Check,Yes
60,82.86,5206.75,Month-to-Month,Fiber_Optic,Credit_Card,No
57,41.64,2339.94,One-Year,Fiber_Optic,Mailed_Check,Yes
46,71.63,3233.86,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
15,21.8,338.97,One-Year,DSL,Credit_Card,No
10,30.73,313.36,One-Year,No,Electronic_Check,No
13,84.77,1115.81,Two-Year,Fiber_Optic,Electronic_Check,No
4,46.8,192.39,Month-to-Month,Fiber_Optic,Credit_Card,Yes
15,75.2,1096.94,Month-to-Month,DSL,Bank_Transfer,Yes
56,114.55,6102.65,Month-to-Month,DSL,Credit_Card,Yes
61,55.11,3303.07,Month-to-Month,Fiber_Optic,Credit_Card,Yes
40,73.03,3012.62,Month-to-Month,DSL,Bank_Transfer,No
53,39.83,2057.6,Month-to-Month,DSL,Bank_Transfer,Yes
61,64.78,3987.12,Two-Year,Fiber_Optic,Electronic_Check,No
68,75.15,5350.08,Month-to-Month,DSL,Credit_Card,No
64,101.68,6215.96,Two-Year,DSL,Electronic_Check,No
66,87.61,5781.8,One-Year,Fiber_Optic,Mailed_Check,No
1,45.21,44.32,Two-Year,DSL,Electronic_Check,No
40,20.77,829.17,Month-to-Month,No,Bank_Transfer,Yes
53,106.87,5457.02,Month-to-Month,Fiber_Optic,Bank_Transfer,No
19,79.31,1498.86,One-Year,DSL,Electronic_Check,No
16,33.3,507.68,One-Year,DSL,Bank_Transfer,No
46,54.65,2391.74,Month-to-Month,DSL,Bank_Transfer,Yes
60,44.42,2559.45,Two-Year,Fiber_Optic,Credit_Card,No
61,51.75,3299.26,Month-to-Month,No,Electronic_Check,No
40,34.09,1385.65,Two-Year,Fiber_Optic,Bank_Transfer,No
60,46.84,2915.95,Two-Year,No,Bank_Transfer,No
48,29.88,1466.25,One-Year,DSL,Electronic_Check,No
2,20.84,40.41,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
17,103.86,1722.13,One-Year,No,Credit_Card,Yes
71,24.03,1765.2,Month-to-Month,Fiber_Optic,Electronic_Check,No
33,36.68,1225.75,Month-to-Month,DSL,Bank_Transfer,No
32,100.91,3248.55,Month-to-Month,No,Electronic_Check,Yes
38,42.65,1681.92,Month-to-Month,Fiber_Optic,Bank_Transfer,No
17,96.55,1691.53,One-Year,DSL,Bank_Transfer,No
32,108.78,3435.29,One-Year,DSL,Mailed_Check,No
20,61.99,1265.91,Month-to-Month,DSL,Bank_Transfer,Yes
37,91.5,3234.43,Two-Year,Fiber_Optic,Credit_Card,Yes
67,78.02,4997.36,Month-to-Month,No,Mailed_Check,Yes
16,104.49,1589.61,Two-Year,Fiber_Optic,Bank_Transfer,Yes
22,78.29,1802.39,Month-to-Month,Fiber_Optic,Credit_Card,Yes
28,30.54,813.67,Month-to-Month,Fiber_Optic,Credit_Card,No
29,59.09,1679.08,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
58,53.21,2942.45,Two-Year,DSL,Credit_Card,No
10,64.72,617.32,Month-to-Month,DSL,Bank_Transfer,Yes
55,62.68,3609.8,One-Year,Fiber_Optic,Electronic_Check,Yes
34,58.82,2015.72,Month-to-Month,Fiber_Optic,Electronic_Check,No
28,108.03,2895.04,One-Year,Fiber_Optic,Electronic_Check,No
46,101.43,4643.95,Month-to-Month,DSL,Credit_Card,No
41,65.56,2615.32,Two-Year,DSL,Bank_Transfer,No
34,108.24,3837.63,Month-to-Month,DSL,Credit_Card,Yes
5,76.52,379.93,One-Year,Fiber_Optic,Bank_Transfer,No
23,92.64,2169.67,Two-Year,Fiber_Optic,Mailed_Check,No
71,21.86,1612.1,Two-Year,Fiber_Optic,Electronic_Check,No
43,93.6,3842.14,Month-to-Month,No,Bank_Transfer,Yes
55,68.1,3795.23,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
28,89.25,2433.42,Month-to-Month,DSL,Mailed_Check,No
43,54.03,2363.84,Month-to-Month,No,Electronic_Check,Yes
26,46.05,1191.19,Month-to-Month,DSL,Mailed_Check,Yes
37,61.11,2325.19,Two-Year,Fiber_Optic,Bank_Transfer,No
24,48.32,1164.05,One-Year,No,Credit_Card,No
23,29.17,657.3,Month-to-Month,DSL,Credit_Card,Yes
33,88.82,2941.89,One-Year,No,Mailed_Check,No
42,47.25,1991.32,Month-to-Month,Fiber_Optic,Electronic_Check,No
33,84.93,2857.66,Two-Year,Fiber_Optic,Electronic_Check,No
36,20.71,773.79,Month-to-Month,Fiber_Optic,Bank_Transfer,No
69,39.14,2628.9,Month-to-Month,DSL,Electronic_Check,No
45,86.16,3761.83,Two-Year,Fiber_Optic,Electronic_Check,No
14,37.61,513.83,Month-to-Month,DSL,Mailed_Check,Yes
32,54.83,1808.91,Two-Year,Fiber_Optic,Credit_Card,No
61,67.54,3928.15,Month-to-Month,DSL,Mailed_Check,No
62,106.14,6308.8,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
56,23.64,1380.08,Two-Year,DSL,Credit_Card,No
3,81.06,244.91,One-Year,No,Electronic_Check,Yes
58,60.74,3556.33,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
55,77.18,4134.34,One-Year,No,Electronic_Check,No
67,23.51,1610.14,One-Year,Fiber_Optic,Electronic_Check,No
50,69.79,3640.25,One-Year,Fiber_Optic,Electronic_Check,No
15,49.12,764.61,Month-to-Month,DSL,Electronic_Check,Yes
68,54.12,3781.8,One-Year,Fiber_Optic,Electronic_Check,No
70,46.71,3117.34,Month-to-Month,DSL,Electronic_Check,No
22,23.34,512.75,One-Year,DSL,Credit_Card,No
26,76.86,1999.46,One-Year,Fiber_Optic,Mailed_Check,Yes
69,71.0,4924.48,Month-to-Month,Fiber_Optic,Electronic_Check,No
71,64.67,4746.14,Month-to-Month,No,Mailed_Check,No
67,82.32,5580.21,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
21,62.07,1321.88,One-Year,DSL,Bank_Transfer,No
67,62.1,4339.72,Month-to-Month,Fiber_Optic,Bank_Transfer,No
20,102.99,2042.68,One-Year,DSL,Bank_Transfer,Yes
23,66.19,1539.52,Two-Year,DSL,Bank_Transfer,Yes
34,38.14,1268.68,One-Year,Fiber_Optic,Bank_Transfer,No
67,84.42,5412.06,Two-Year,DSL,Electronic_Check,No
42,105.75,4265.2,Month-to-Month,DSL,Mailed_Check,No
35,31.8,1091.77,Two-Year,DSL,Mailed_Check,No
6,83.75,487.76,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
71,21.9,1599.57,Month-to-Month,No,Mailed_Check,No
16,85.95,1409.18,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
33,37.21,1254.65,Two-Year,DSL,Electronic_Check,No
47,40.33,1975.91,One-Year,Fiber_Optic,Credit_Card,No
15,30.5,437.92,Two-Year,Fiber_Optic,Mailed_Check,No
47,68.73,3127.78,Month-to-Month,Fiber_Optic,Credit_Card,No
37,75.38,2837.76,Month-to-Month,DSL,Electronic_Check,No
41,83.84,3505.1,Month-to-Month,Fiber_Optic,Credit_Card,Yes
5,69.79,356.76,One-Year,DSL,Mailed_Check,Yes
40,29.38,1119.04,Month-to-Month,DSL,Bank_Transfer,Yes
62,88.04,5267.0,Two-Year,Fiber_Optic,Credit_Card,No
53,81.91,4532.75,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
17,85.97,1427.97,One-Year,Fiber_Optic,Mailed_Check,Yes
65,109.54,7145.36,One-Year,Fiber_Optic,Credit_Card,No
58,81.06,4831.14,Two-Year,DSL,Electronic_Check,No
18,54.44,1009.23,One-Year,Fiber_Optic,Electronic_Check,Yes
45,86.6,3843.43,Month-to-Month,Fiber_Optic,Electronic_Check,No
38,85.02,3259.5,Month-to-Month,DSL,Bank_Transfer,Yes
28,86.61,2421.58,One-Year,Fiber_Optic,Electronic_Check,Yes
33,36.21,1170.39,Month-to-Month,DSL,Credit_Card,Yes
23,107.58,2445.86,Month-to-Month,Fiber_Optic,Credit_Card,Yes
64,107.91,6995.82,One-Year,Fiber_Optic,Electronic_Check,No
48,56.17,2660.65,Month-to-Month,No,Mailed_Check,No
29,70.96,2094.7,One-Year,No,Bank_Transfer,No
16,71.38,1097.51,Two-Year,DSL,Credit_Card,Yes
59,40.7,2349.54,Month-to-Month,Fiber_Optic,Mailed_Check,No
51,77.82,3861.92,Month-to-Month,DSL,Bank_Transfer,Yes
65,58.11,3628.03,Month-to-Month,DSL,Electronic_Check,Yes
16,83.32,1275.51,Month-to-Month,DSL,Credit_Card,Yes
48,81.01,3732.46,Month-to-Month,Fiber_Optic,Mailed_Check,No
18,66.05,1241.31,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
64,40.46,2557.6,Month-to-Month,No,Bank_Transfer,No
70,34.33,2398.21,One-Year,DSL,Credit_Card,No
56,79.56,4255.3,One-Year,Fiber_Optic,Electronic_Check,No
7,63.86,436.18,One-Year,No,Mailed_Check,No
55,78.37,4434.74,Two-Year,DSL,Electronic_Check,Yes
35,73.11,2535.89,One-Year,DSL,Mailed_Check,No
12,52.16,605.78,One-Year,Fiber_Optic,Electronic_Check,No
10,105.09,1034.21,Month-to-Month,Fiber_Optic,Credit_Card,Yes
8,62.87,510.07,One-Year,Fiber_Optic,Mailed_Check,Yes
8,58.34,471.65,Month-to-Month,No,Bank_Transfer,Yes
17,48.01,856.67,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
42,91.54,3909.63,One-Year,Fiber_Optic,Credit_Card,No
33,100.67,3288.65,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
15,112.05,1655.64,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
29,71.09,2106.3,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
48,31.92,1600.86,Two-Year,DSL,Bank_Transfer,No
11,21.11,221.6,One-Year,Fiber_Optic,Mailed_Check,Yes
9,110.08,953.92,Month-to-Month,DSL,Electronic_Check,Yes
41,58.62,2367.23,One-Year,Fiber_Optic,Electronic_Check,No
19,20.98,389.06,Month-to-Month,Fiber_Optic,Mailed_Check,No
40,49.28,1970.97,One-Year,DSL,Electronic_Check,No
28,78.94,2124.78,Two-Year,DSL,Electronic_Check,Yes
9,28.31,259.56,Two-Year,Fiber_Optic,Electronic_Check,No
66,86.64,5965.65,Month-to-Month,Fiber_Optic,Electronic_Check,No
14,56.88,802.27,Month-to-Month,DSL,Electronic_Check,No
49,96.24,4861.42,Two-Year,No,Bank_Transfer,No
58,74.59,4163.68,Month-to-Month,No,Bank_Transfer,No
33,41.42,1376.05,Month-to-Month,DSL,Electronic_Check,Yes
15,22.76,353.04,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
56,89.91,5241.17,Two-Year,Fiber_Optic,Mailed_Check,No
48,44.32,2053.17,Month-to-Month,DSL,Mailed_Check,No
42,92.81,3888.2,Two-Year,Fiber_Optic,Credit_Card,No
57,97.5,5805.16,Two-Year,Fiber_Optic,Bank_Transfer,No
49,33.5,1620.63,Month-to-Month,No,Credit_Card,No
15,83.35,1306.42,One-Year,Fiber_Optic,Credit_Card,Yes
32,49.72,1625.57,One-Year,DSL,Bank_Transfer,No
5,76.7,394.32,Month-to-Month,DSL,Electronic_Check,Yes
52,63.78,3176.85,One-Year,Fiber_Optic,Mailed_Check,No
62,48.74,2887.49,One-Year,No,Mailed_Check,No
4,81.28,316.47,Two-Year,DSL,Electronic_Check,No
60,97.53,6098.79,Month-to-Month,DSL,Bank_Transfer,Yes
66,100.05,6840.14,Month-to-Month,Fiber_Optic,Credit_Card,Yes
12,29.22,343.62,Two-Year,Fiber_Optic,Electronic_Check,Yes
60,80.25,4646.48,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
70,81.45,5966.57,Two-Year,DSL,Electronic_Check,No
1,73.35,70.07,One-Year,No,Electronic_Check,Yes
59,109.78,6425.86,One-Year,DSL,Electronic_Check,No
61,65.74,4147.79,One-Year,Fiber_Optic,Electronic_Check,Yes
52,54.66,2733.96,Two-Year,No,Mailed_Check,No
15,36.51,521.3,Month-to-Month,Fiber_Optic,Electronic_Check,No
22,99.69,2137.18,One-Year,Fiber_Optic,Electronic_Check,No
46,32.5,1532.43,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
24,71.42,1739.23,Month-to-Month,DSL,Mailed_Check,Yes
23,28.55,678.43,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
23,63.72,1463.54,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
64,29.93,1916.06,Two-Year,Fiber_Optic,Electronic_Check,No
17,45.0,791.52,Month-to-Month,No,Electronic_Check,Yes
69,54.44,3691.4,Month-to-Month,Fiber_Optic,Credit_Card,No
41,26.11,1053.34,Two-Year,DSL,Bank_Transfer,No
30,43.26,1315.2,Month-to-Month,DSL,Bank_Transfer,Yes
57,77.01,4356.39,Month-to-Month,DSL,Credit_Card,Yes
69,87.33,6024.05,One-Year,Fiber_Optic,Mailed_Check,No
34,83.85,2884.01,Month-to-Month,DSL,Electronic_Check,Yes
59,45.04,2690.61,One-Year,DSL,Electronic_Check,No
24,114.3,2624.14,Month-to-Month,Fiber_Optic,Credit_Card,Yes
32,58.83,1882.75,One-Year,DSL,Credit_Card,No
54,93.65,4976.95,Month-to-Month,Fiber_Optic,Credit_Card,Yes
47,40.81,1857.18,Two-Year,DSL,Mailed_Check,No
35,112.64,3900.24,Month-to-Month,DSL,Electronic_Check,Yes
29,54.68,1646.52,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
