age,annual_income,credit_score,debt_to_income,loan_amount,employment_years,home_ownership,loan_intent,default_risk
57,43400.0,688,0.116,15500.0,16,RENT,MEDICAL,Low
50,58700.0,482,0.05,10200.0,14,OWN,VENTURE,Low
70,18000.0,414,0.147,3000.0,17,RENT,PERSONAL,Low
40,49300.0,811,0.272,7100.0,9,MORTGAGE,VENTURE,Low
42,60600.0,676,0.252,10100.0,9,RENT,PERSONAL,High
39,36700.0,423,0.314,8600.0,3,RENT,EDUCATION,High
44,51400.0,575,0.65,9100.0,15,MORTGAGE,EDUCATION,High
54,115800.0,546,0.249,40100.0,15,RENT,VENTURE,Low
46,31700.0,837,0.548,5000.0,18,RENT,PERSONAL,Low
38,18000.0,802,0.284,3500.0,11,OWN,PERSONAL,Low
51,39500.0,681,0.391,5100.0,5,MORTGAGE,PERSONAL,Low
46,29200.0,684,0.262,8300.0,13,RENT,PERSONAL,Low
24,48100.0,506,0.241,8600.0,2,RENT,EDUCATION,High
39,75300.0,397,0.334,16800.0,6,MORTGAGE,MEDICAL,Low
38,84500.0,447,0.161,41600.0,14,MORTGAGE,EDUCATION,High
23,60100.0,461,0.115,16700.0,1,RENT,VENTURE,High
22,114900.0,500,0.189,15400.0,1,MORTGAGE,VENTURE,Low
33,61500.0,713,0.592,24800.0,6,RENT,MEDICAL,High
33,91700.0,652,0.295,27900.0,10,OWN,MEDICAL,High
63,61100.0,777,0.186,21400.0,15,MORTGAGE,PERSONAL,High
66,58400.0,814,0.204,6500.0,14,RENT,PERSONAL,Low
62,36500.0,652,0.242,12300.0,31,RENT,PERSONAL,Low
45,49500.0,396,0.204,24600.0,11,MORTGAGE,PERSONAL,High
55,35000.0,448,0.245,12200.0,15,MORTGAGE,MEDICAL,High
55,41400.0,688,0.056,7900.0,5,RENT,VENTURE,Low
44,51700.0,412,0.178,13100.0,18,OWN,EDUCATION,High
42,98900.0,413,0.421,37800.0,9,RENT,PERSONAL,High
70,42400.0,848,0.226,12700.0,34,MORTGAGE,MEDICAL,Low
44,71800.0,441,0.297,35700.0,14,RENT,EDUCATION,High
63,23500.0,758,0.298,6400.0,15,RENT,VENTURE,Low
41,41600.0,646,0.396,17000.0,6,MORTGAGE,VENTURE,High
33,106200.0,773,0.291,37200.0,10,MORTGAGE,VENTURE,Low
64,60800.0,396,0.088,12300.0,14,MORTGAGE,VENTURE,High
49,18000.0,697,0.349,2700.0,22,MORTGAGE,MEDICAL,Low
50,48500.0,835,0.321,11700.0,7,MORTGAGE,EDUCATION,Low
69,42600.0,518,0.259,4700.0,32,MORTGAGE,PERSONAL,Low
25,24200.0,601,0.246,6200.0,1,RENT,MEDICAL,Low
61,18000.0,429,0.156,7900.0,20,RENT,MEDICAL,High
32,27900.0,811,0.329,11100.0,9,RENT,PERSONAL,Low
39,26000.0,756,0.2,5100.0,9,MORTGAGE,MEDICAL,High
63,75800.0,787,0.443,32000.0,22,MORTGAGE,MEDICAL,Low
44,69900.0,640,0.336,11300.0,18,RENT,MEDICAL,Low
30,72500.0,490,0.629,15000.0,1,MORTGAGE,MEDICAL,High
47,94500.0,401,0.331,44800.0,11,RENT,VENTURE,Low
59,18000.0,608,0.335,2600.0,7,RENT,PERSONAL,Low
66,41900.0,756,0.329,10500.0,14,RENT,VENTURE,Low
25,60600.0,668,0.402,24000.0,3,RENT,VENTURE,High
57,33000.0,622,0.058,11500.0,8,MORTGAGE,PERSONAL,Low
61,33900.0,784,0.388,16000.0,19,MORTGAGE,PERSONAL,Low
41,30600.0,694,0.112,4800.0,10,MORTGAGE,PERSONAL,High
32,54600.0,641,0.574,14600.0,5,RENT,VENTURE,Low
44,47700.0,384,0.116,18100.0,3,RENT,PERSONAL,High
29,103300.0,447,0.496,30300.0,2,OWN,MEDICAL,High
25,62500.0,676,0.14,11600.0,3,MORTGAGE,PERSONAL,Low
33,56100.0,798,0.05,20500.0,3,MORTGAGE,MEDICAL,High
46,48700.0,562,0.187,14900.0,11,MORTGAGE,MEDICAL,Low
53,30800.0,715,0.426,6800.0,4,MORTGAGE,EDUCATION,High
32,53200.0,599,0.597,14000.0,3,MORTGAGE,PERSONAL,High
35,81000.0,684,0.185,31700.0,11,RENT,VENTURE,Low
25,65600.0,648,0.439,24300.0,4,MORTGAGE,MEDICAL,High
46,26100.0,545,0.547,6300.0,4,RENT,VENTURE,High
25,20000.0,669,0.243,5500.0,3,RENT,EDUCATION,High
36,75200.0,425,0.108,21700.0,9,MORTGAGE,MEDICAL,Low
32,55500.0,757,0.228,22800.0,4,MORTGAGE,EDUCATION,Low
21,58900.0,423,0.538,17000.0,1,RENT,EDUCATION,High
56,29600.0,764,0.205,14300.0,23,OWN,MEDICAL,Low
22,77400.0,546,0.318,19300.0,1,RENT,VENTURE,Low
30,76600.0,467,0.239,30300.0,2,RENT,PERSONAL,High
40,42600.0,664,0.458,11100.0,13,OWN,PERSONAL,High
49,70100.0,839,0.373,33100.0,20,MORTGAGE,EDUCATION,Low
71,28700.0,824,0.207,6600.0,36,RENT,MEDICAL,Low
51,47200.0,808,0.087,14800.0,23,RENT,PERSONAL,Low
37,18000.0,480,0.182,2600.0,11,RENT,MEDICAL,High
70,41900.0,462,0.226,13200.0,19,OWN,VENTURE,Low
58,217400.0,476,0.084,27000.0,22,MORTGAGE,PERSONAL,High
44,76000.0,702,0.153,13400.0,19,RENT,VENTURE,Low
41,140000.0,572,0.374,50000.0,6,MORTGAGE,PERSONAL,Low
60,70800.0,565,0.203,33700.0,26,RENT,PERSONAL,Low
23,57900.0,616,0.095,9800.0,0,MORTGAGE,VENTURE,Low
22,57400.0,806,0.418,6000.0,0,RENT,EDUCATION,Low
22,39600.0,652,0.148,11800.0,1,MORTGAGE,VENTURE,Low
53,78100.0,628,0.228,13500.0,17,RENT,PERSONAL,Low
42,32500.0,511,0.194,15600.0,16,MORTGAGE,EDUCATION,High
70,52100.0,633,0.502,5400.0,12,RENT,EDUCATION,Low
52,250000.0,502,0.156,37300.0,14,MORTGAGE,MEDICAL,Low
23,68500.0,693,0.144,21100.0,1,RENT,PERSONAL,Low
68,38200.0,801,0.151,14600.0,33,MORTGAGE,EDUCATION,High
67,96200.0,403,0.098,20700.0,29,MORTGAGE,EDUCATION,High
33,65900.0,427,0.134,24600.0,1,RENT,PERSONAL,High
28,43400.0,553,0.464,7000.0,1,MORTGAGE,PERSONAL,Low
27,26000.0,649,0.579,8800.0,1,RENT,PERSONAL,High
55,46000.0,447,0.501,14600.0,17,MORTGAGE,PERSONAL,High
24,39000.0,497,0.304,16800.0,3,RENT,VENTURE,Low
22,52300.0,435,0.211,8100.0,0,MORTGAGE,EDUCATION,High
37,63900.0,551,0.378,10600.0,8,MORTGAGE,VENTURE,Low
24,60400.0,456,0.098,18300.0,1,RENT,EDUCATION,High
31,28900.0,591,0.3,10300.0,8,RENT,VENTURE,High
27,69300.0,838,0.173,24200.0,4,RENT,PERSONAL,High
66,64800.0,384,0.152,28900.0,34,MORTGAGE,EDUCATION,High
66,21000.0,621,0.349,5300.0,15,MORTGAGE,VENTURE,High
29,61600.0,845,0.181,28300.0,5,MORTGAGE,PERSONAL,Low
60,48000.0,649,0.151,16400.0,19,RENT,EDUCATION,Low
25,63400.0,663,0.104,29200.0,2,RENT,PERSONAL,High
54,26100.0,700,0.05,13000.0,9,OWN,VENTURE,High
68,41300.0,792,0.604,10800.0,7,MORTGAGE,VENTURE,Low
54,43300.0,392,0.495,12500.0,21,RENT,MEDICAL,High
32,23800.0,392,0.132,11300.0,7,MORTGAGE,MEDICAL,High
35,67900.0,734,0.24,27200.0,4,MORTGAGE,EDUCATION,Low
67,41600.0,408,0.08,17600.0,34,RENT,PERSONAL,Low
47,62900.0,779,0.239,15900.0,19,RENT,MEDICAL,Low
24,27200.0,388,0.65,10300.0,3,RENT,EDUCATION,High
45,21400.0,562,0.534,5300.0,3,RENT,EDUCATION,High
47,24800.0,478,0.401,4600.0,19,MORTGAGE,EDUCATION,High
69,18000.0,742,0.291,3700.0,16,MORTGAGE,MEDICAL,High
65,31200.0,750,0.068,11700.0,6,RENT,VENTURE,High
44,63000.0,521,0.184,27800.0,7,MORTGAGE,PERSONAL,High
35,119500.0,596,0.426,42800.0,8,MORTGAGE,MEDICAL,High
59,101400.0,528,0.149,20300.0,28,RENT,EDUCATION,High
66,110900.0,656,0.259,34600.0,11,RENT,EDUCATION,High
39,110600.0,529,0.323,19000.0,3,RENT,MEDICAL,High
28,184700.0,834,0.269,50000.0,4,MORTGAGE,PERSONAL,Low
68,56800.0,545,0.05,15400.0,18,RENT,EDUCATION,Low
32,89700.0,408,0.366,13000.0,8,MORTGAGE,MEDICAL,Low
64,75200.0,750,0.293,29600.0,14,MORTGAGE,EDUCATION,Low
69,18000.0,609,0.351,3000.0,29,MORTGAGE,MEDICAL,High
71,55900.0,777,0.105,5600.0,37,MORTGAGE,EDUCATION,Low
60,52600.0,748,0.315,7500.0,7,MORTGAGE,EDUCATION,Low
32,64100.0,694,0.126,19900.0,3,RENT,PERSONAL,Low
37,37100.0,469,0.498,5300.0,7,RENT,MEDICAL,High
65,32300.0,547,0.307,4400.0,20,OWN,VENTURE,High
38,37000.0,758,0.313,17100.0,4,MORTGAGE,MEDICAL,High
45,79100.0,832,0.318,30500.0,19,MORTGAGE,VENTURE,Low
54,67100.0,479,0.245,12500.0,5,MORTGAGE,VENTURE,Low
46,124900.0,475,0.227,39300.0,19,MORTGAGE,EDUCATION,High
64,23300.0,571,0.377,10200.0,15,MORTGAGE,PERSONAL,High
48,100500.0,794,0.273,41500.0,8,MORTGAGE,MEDICAL,Low
52,161600.0,476,0.474,23000.0,8,MORTGAGE,MEDICAL,High
25,28900.0,779,0.413,12200.0,2,RENT,EDUCATION,Low
53,52800.0,522,0.419,24300.0,9,RENT,EDUCATION,High
65,18900.0,730,0.332,2100.0,8,RENT,PERSONAL,High
43,18000.0,689,0.349,7600.0,18,RENT,PERSONAL,Low
51,21500.0,828,0.308,4600.0,12,OWN,VENTURE,Low
35,50500.0,749,0.302,6800.0,11,MORTGAGE,VENTURE,Low
26,56200.0,396,0.168,13900.0,1,MORTGAGE,MEDICAL,High
41,38600.0,816,0.299,12600.0,3,MORTGAGE,PERSONAL,Low
58,72900.0,795,0.243,23300.0,28,RENT,PERSONAL,Low
37,60900.0,572,0.264,16800.0,11,RENT,MEDICAL,High
26,157300.0,636,0.434,50000.0,3,OWN,MEDICAL,High
35,20400.0,712,0.251,5800.0,4,RENT,EDUCATION,High
40,28400.0,782,0.11,14100.0,4,OWN,VENTURE,Low
44,33900.0,695,0.05,16100.0,19,RENT,PERSONAL,Low
55,32700.0,450,0.154,12600.0,4,OWN,MEDICAL,High
26,36300.0,791,0.142,17100.0,3,MORTGAGE,MEDICAL,Low
44,212600.0,766,0.193,28400.0,11,RENT,EDUCATION,Low
59,39000.0,732,0.491,11000.0,15,RENT,PERSONAL,Low
24,73100.0,787,0.146,32200.0,3,MORTGAGE,VENTURE,Low
67,20200.0,572,0.403,6800.0,5,RENT,PERSONAL,High
52,31600.0,514,0.05,15100.0,23,MORTGAGE,VENTURE,Low
47,82800.0,572,0.335,19200.0,11,RENT,MEDICAL,High
39,90600.0,479,0.348,15800.0,2,MORTGAGE,PERSONAL,Low
43,18000.0,488,0.143,7900.0,4,MORTGAGE,PERSONAL,High
40,180100.0,745,0.409,50000.0,16,MORTGAGE,MEDICAL,High
56,63700.0,427,0.394,23200.0,18,RENT,VENTURE,High
29,30300.0,722,0.226,11100.0,4,MORTGAGE,VENTURE,High
57,65600.0,691,0.087,18500.0,8,MORTGAGE,EDUCATION,Low
30,32800.0,396,0.222,12000.0,3,RENT,PERSONAL,Low
69,19800.0,556,0.273,7600.0,35,MORTGAGE,MEDICAL,Low
71,55100.0,687,0.251,16200.0,30,MORTGAGE,EDUCATION,Low
30,82300.0,826,0.203,8600.0,6,MORTGAGE,PERSONAL,Low
51,95800.0,583,0.27,25900.0,7,OWN,PERSONAL,High
64,18000.0,660,0.43,6300.0,20,MORTGAGE,VENTURE,Low
50,27000.0,488,0.05,5300.0,18,RENT,PERSONAL,Low
52,43300.0,575,0.122,11000.0,23,RENT,VENTURE,Low
60,94700.0,540,0.161,40000.0,8,OWN,PERSONAL,High
23,111000.0,646,0.182,42600.0,1,OWN,PERSONAL,Low
40,38000.0,763,0.551,12100.0,4,MORTGAGE,PERSONAL,High
23,22900.0,794,0.091,8300.0,1,RENT,PERSONAL,Low
28,69800.0,424,0.65,26300.0,6,MORTGAGE,PERSONAL,High
48,36200.0,676,0.386,6500.0,13,RENT,PERSONAL,Low
51,63900.0,632,0.441,13900.0,22,MORTGAGE,VENTURE,High
65,94900.0,823,0.274,41500.0,15,RENT,EDUCATION,High
41,72000.0,589,0.444,7300.0,8,OWN,PERSONAL,Low
62,26000.0,441,0.484,9200.0,33,RENT,MEDICAL,High
41,22600.0,589,0.266,9500.0,2,MORTGAGE,PERSONAL,High
23,19100.0,743,0.118,8400.0,1,MORTGAGE,PERSONAL,Low
25,78300.0,394,0.208,38700.0,3,OWN,EDUCATION,High
64,99900.0,394,0.225,24800.0,33,RENT,MEDICAL,Low
42,25500.0,394,0.429,2600.0,7,MORTGAGE,MEDICAL,High
32,34800.0,525,0.492,6900.0,9,RENT,MEDICAL,High
23,26900.0,439,0.366,4500.0,1,RENT,EDUCATION,Low
31,44300.0,439,0.411,14600.0,5,RENT,EDUCATION,Low
66,28200.0,829,0.05,4400.0,12,OWN,PERSONAL,Low
28,28200.0,418,0.401,11500.0,5,MORTGAGE,PERSONAL,High
40,106200.0,742,0.505,14200.0,10,RENT,MEDICAL,Low
36,85900.0,715,0.179,39900.0,3,RENT,PERSONAL,High
57,49000.0,516,0.264,14000.0,28,MORTGAGE,EDUCATION,High
41,98300.0,615,0.614,43500.0,3,MORTGAGE,EDUCATION,High
51,32900.0,519,0.428,5100.0,24,RENT,MEDICAL,High
24,64100.0,434,0.281,17600.0,1,MORTGAGE,VENTURE,High
43,26400.0,627,0.356,12900.0,15,MORTGAGE,PERSONAL,Low
48,29700.0,743,0.071,8100.0,6,MORTGAGE,MEDICAL,Low
38,87800.0,773,0.318,9900.0,13,MORTGAGE,VENTURE,Low
54,22200.0,760,0.525,5100.0,4,MORTGAGE,PERSONAL,High
22,36400.0,608,0.119,4100.0,1,RENT,MEDICAL,Low
24,22600.0,753,0.253,3900.0,3,OWN,EDUCATION,Low
54,21400.0,449,0.197,2600.0,5,MORTGAGE,EDUCATION,High
52,47200.0,717,0.443,8400.0,19,MORTGAGE,VENTURE,Low
26,48600.0,804,0.254,15400.0,3,RENT,EDUCATION,Low
50,18000.0,565,0.596,5600.0,23,MORTGAGE,PERSONAL,High
32,180600.0,505,0.225,50000.0,7,RENT,MEDICAL,High
46,120700.0,498,0.081,25600.0,14,MORTGAGE,PERSONAL,Low
69,26100.0,757,0.445,11400.0,37,RENT,EDUCATION,Low
30,59600.0,776,0.148,11400.0,5,MORTGAGE,PERSONAL,Low
40,50600.0,831,0.496,18300.0,9,RENT,MEDICAL,High
61,30800.0,665,0.359,8400.0,14,MORTGAGE,PERSONAL,High
39,20300.0,739,0.23,7100.0,9,RENT,PERSONAL,Low
62,46100.0,828,0.208,20600.0,13,RENT,MEDICAL,High
56,40800.0,734,0.231,8100.0,20,MORTGAGE,PERSONAL,Low
48,97200.0,398,0.52,10200.0,14,MORTGAGE,EDUCATION,High
34,50600.0,626,0.085,23600.0,6,RENT,VENTURE,Low
61,24200.0,770,0.602,10100.0,17,MORTGAGE,VENTURE,High
39,29700.0,651,0.146,10300.0,13,MORTGAGE,MEDICAL,Low
68,45200.0,773,0.157,14400.0,12,RENT,EDUCATION,Low
36,84200.0,615,0.232,15000.0,11,MORTGAGE,VENTURE,High
25,22000.0,807,0.244,3500.0,4,MORTGAGE,MEDICAL,Low
56,53900.0,398,0.144,5800.0,26,RENT,VENTURE,Low
40,104200.0,521,0.121,50000.0,11,RENT,EDUCATION,High
24,18500.0,417,0.052,3400.0,2,RENT,PERSONAL,High
62,112100.0,695,0.468,48600.0,7,OWN,PERSONAL,Low
40,32600.0,688,0.151,15000.0,9,OWN,EDUCATION,Low
68,44700.0,813,0.127,5400.0,34,OWN,MEDICAL,Low
71,33100.0,460,0.239,14500.0,6,RENT,PERSONAL,High
65,58400.0,701,0.221,17600.0,21,MORTGAGE,VENTURE,Low
53,63500.0,600,0.333,24800.0,9,RENT,VENTURE,High
33,64800.0,476,0.36,17500.0,8,MORTGAGE,PERSONAL,High
45,250000.0,833,0.1,50000.0,11,RENT,VENTURE,Low
63,18000.0,471,0.444,2000.0,22,MORTGAGE,VENTURE,High
35,33900.0,825,0.365,4300.0,10,OWN,MEDICAL,Low
56,20400.0,665,0.443,6100.0,10,MORTGAGE,MEDICAL,High
22,40900.0,819,0.617,18800.0,1,MORTGAGE,VENTURE,Low
57,30000.0,451,0.65,12300.0,26,MORTGAGE,PERSONAL,High
67,39700.0,660,0.351,9800.0,5,RENT,EDUCATION,High
25,46000.0,645,0.057,10100.0,3,RENT,EDUCATION,Low
67,32400.0,549,0.266,5700.0,17,RENT,PERSONAL,High
25,83900.0,517,0.155,39300.0,3,RENT,EDUCATION,High
70,18700.0,622,0.194,8400.0,23,RENT,PERSONAL,Low
45,33800.0,849,0.531,16400.0,18,RENT,PERSONAL,Low
45,47900.0,659,0.562,21500.0,11,MORTGAGE,VENTURE,High
25,111000.0,460,0.242,18200.0,1,OWN,VENTURE,High
51,20400.0,569,0.257,2600.0,23,RENT,MEDICAL,High
31,21800.0,389,0.454,7900.0,4,OWN,PERSONAL,High
35,65800.0,443,0.277,23500.0,4,RENT,PERSONAL,High
25,49800.0,550,0.56,16000.0,2,RENT,EDUCATION,High
63,19400.0,417,0.187,4800.0,14,OWN,PERSONAL,High
26,97700.0,845,0.062,42400.0,2,RENT,EDUCATION,High
50,55900.0,432,0.245,27100.0,6,RENT,PERSONAL,High
50,38800.0,539,0.154,12600.0,8,RENT,PERSONAL,High
36,38700.0,699,0.152,11300.0,7,MORTGAGE,PERSONAL,Low
25,50800.0,613,0.121,7000.0,2,MORTGAGE,PERSONAL,Low
36,38000.0,728,0.472,15400.0,2,RENT,PERSONAL,Low
34,58500.0,606,0.334,27400.0,8,RENT,VENTURE,High
39,58700.0,405,0.65,14500.0,11,MORTGAGE,VENTURE,High
45,24200.0,565,0.074,9800.0,16,MORTGAGE,VENTURE,Low
55,18100.0,608,0.36,8700.0,15,RENT,EDUCATION,Low
66,128600.0,577,0.533,49500.0,29,MORTGAGE,PERSONAL,Low
60,34400.0,511,0.604,9400.0,23,RENT,VENTURE,High
63,139500.0,679,0.574,24100.0,9,RENT,EDUCATION,Low
26,52600.0,740,0.05,23500.0,1,RENT,VENTURE,Low
60,18000.0,480,0.57,4400.0,25,RENT,PERSONAL,High
68,57000.0,545,0.067,13000.0,7,OWN,PERSONAL,High
58,28000.0,599,0.343,5800.0,7,RENT,PERSONAL,High
59,18000.0,790,0.05,5900.0,11,RENT,MEDICAL,Low
29,47600.0,666,0.073,18400.0,6,MORTGAGE,VENTURE,Low
62,24000.0,485,0.28,10000.0,11,RENT,EDUCATION,High
50,41900.0,645,0.388,15800.0,16,MORTGAGE,EDUCATION,Low
31,96600.0,458,0.313,26900.0,4,MORTGAGE,MEDICAL,Low
65,77200.0,833,0.298,24700.0,24,OWN,EDUCATION,Low
28,49200.0,770,0.23,19700.0,4,RENT,PERSONAL,Low
35,50000.0,599,0.163,24200.0,8,MORTGAGE,MEDICAL,Low
58,50100.0,582,0.563,22800.0,14,RENT,PERSONAL,Low
32,31400.0,710,0.273,3800.0,6,RENT,PERSONAL,Low
68,25300.0,716,0.56,11900.0,6,RENT,EDUCATION,High
25,35600.0,518,0.65,8100.0,4,RENT,MEDICAL,High
38,51200.0,704,0.227,5600.0,11,RENT,PERSONAL,Low
60,28500.0,562,0.226,6400.0,20,RENT,PERSONAL,High
26,40100.0,750,0.194,5400.0,2,RENT,EDUCATION,High
39,46900.0,418,0.366,18100.0,13,RENT,PERSONAL,High
37,26100.0,693,0.106,8400.0,2,MORTGAGE,PERSONAL,High
54,88300.0,620,0.072,9800.0,5,RENT,PERSONAL,Low
63,101800.0,806,0.101,14200.0,12,RENT,PERSONAL,Low
28,51900.0,763,0.254,20600.0,1,MORTGAGE,MEDICAL,Low
63,25900.0,439,0.155,11400.0,9,RENT,EDUCATION,High
54,18000.0,787,0.325,3500.0,12,RENT,PERSONAL,High
32,18000.0,570,0.296,7800.0,3,MORTGAGE,PERSONAL,High
45,94700.0,576,0.475,21900.0,6,MORTGAGE,EDUCATION,Low
28,52400.0,408,0.436,7200.0,5,RENT,EDUCATION,High
33,32000.0,629,0.262,6300.0,6,OWN,PERSONAL,Low
46,18400.0,447,0.193,5300.0,7,RENT,EDUCATION,High
54,41400.0,817,0.228,8500.0,20,MORTGAGE,MEDICAL,Low
37,81800.0,466,0.356,16500.0,12,RENT,MEDICAL,Low
57,55900.0,680,0.193,19500.0,13,MORTGAGE,PERSONAL,Low
64,24300.0,454,0.248,4700.0,12,OWN,PERSONAL,High
27,250000.0,841,0.063,49400.0,4,OWN,VENTURE,Low
44,63900.0,498,0.556,18200.0,18,MORTGAGE,PERSONAL,High
21,21200.0,608,0.501,9500.0,0,RENT,MEDICAL,High
32,58500.0,799,0.084,6100.0,2,MORTGAGE,MEDICAL,Low
40,59300.0,540,0.315,24300.0,12,RENT,EDUCATION,Low
42,72500.0,764,0.341,35700.0,11,MORTGAGE,EDUCATION,Low
36,58100.0,445,0.141,14000.0,9,RENT,PERSONAL,High
32,21600.0,603,0.258,2400.0,8,MORTGAGE,EDUCATION,Low
26,58800.0,557,0.453,28200.0,2,OWN,VENTURE,High
56,28300.0,788,0.322,10300.0,27,RENT,EDUCATION,Low
57,50500.0,679,0.215,10400.0,11,MORTGAGE,MEDICAL,High
70,45300.0,769,0.258,5300.0,6,MORTGAGE,EDUCATION,Low
36,70500.0,690,0.264,25700.0,8,MORTGAGE,EDUCATION,Low
52,53900.0,492,0.492,12500.0,4,OWN,MEDICAL,High
25,38300.0,825,0.459,18600.0,2,OWN,PERSONAL,High
33,238600.0,573,0.527,48100.0,8,MORTGAGE,EDUCATION,High
42,38200.0,401,0.585,5700.0,8,RENT,EDUCATION,High
62,37600.0,648,0.369,5300.0,20,RENT,PERSONAL,Low
70,62300.0,727,0.327,31000.0,16,OWN,MEDICAL,Low
39,63600.0,756,0.354,12200.0,5,RENT,VENTURE,High
64,86400.0,477,0.43,14600.0,13,RENT,EDUCATION,Low
25,19300.0,499,0.349,6500.0,4,OWN,PERSONAL,High
35,33400.0,672,0.095,11500.0,4,RENT,EDUCATION,Low
28,93000.0,448,0.506,43100.0,6,RENT,VENTURE,High
49,55700.0,429,0.433,24900.0,6,RENT,PERSONAL,High
39,56300.0,484,0.431,12600.0,3,OWN,VENTURE,High
32,19600.0,414,0.388,6500.0,7,RENT,PERSONAL,High
63,19400.0,838,0.229,8800.0,17,MORTGAGE,VENTURE,Low
64,28200.0,509,0.102,4700.0,18,RENT,VENTURE,Low
32,53800.0,537,0.431,14200.0,8,RENT,EDUCATION,High
34,75800.0,384,0.428,32200.0,9,RENT,EDUCATION,High
60,81300.0,380,0.217,23100.0,11,RENT,VENTURE,High
52,18000.0,812,0.2,2600.0,11,RENT,VENTURE,Low
25,44800.0,681,0.376,14000.0,3,RENT,PERSONAL,Low
46,49000.0,743,0.05,5800.0,18,OWN,EDUCATION,Low
63,36200.0,535,0.261,4300.0,11,RENT,PERSONAL,Low
67,36600.0,682,0.531,18100.0,8,RENT,MEDICAL,High
57,24200.0,726,0.164,9600.0,15,RENT,PERSONAL,Low
30,37300.0,572,0.166,14900.0,3,MORTGAGE,EDUCATION,High
25,18000.0,677,0.05,7600.0,3,MORTGAGE,VENTURE,Low
66,102100.0,397,0.176,41300.0,12,OWN,MEDICAL,High
23,52500.0,456,0.474,18700.0,0,RENT,EDUCATION,High
32,114900.0,671,0.297,36600.0,3,MORTGAGE,VENTURE,Low
33,28100.0,414,0.285,9500.0,8,MORTGAGE,PERSONAL,High
45,18000.0,559,0.183,3200.0,8,RENT,EDUCATION,Low
30,140100.0,380,0.299,50000.0,7,OWN,VENTURE,Low
67,18000.0,475,0.19,7100.0,35,MORTGAGE,PERSONAL,High
54,21800.0,462,0.071,3900.0,24,MORTGAGE,VENTURE,High
37,74100.0,776,0.272,19200.0,8,OWN,PERSONAL,Low
45,110700.0,479,0.288,11400.0,14,MORTGAGE,EDUCATION,Low
29,30400.0,454,0.536,3400.0,5,RENT,PERSONAL,High
50,40700.0,419,0.27,5600.0,18,OWN,MEDICAL,High
65,39500.0,706,0.217,17800.0,19,RENT,MEDICAL,Low
35,64500.0,654,0.084,20900.0,6,OWN,PERSONAL,Low
46,26900.0,698,0.505,11000.0,6,RENT,EDUCATION,High
70,67400.0,473,0.65,11400.0,22,OWN,VENTURE,High
44,80600.0,525,0.149,21400.0,18,MORTGAGE,EDUCATION,Low
26,43800.0,504,0.205,21900.0,3,MORTGAGE,PERSONAL,High
38,49500.0,658,0.419,21100.0,6,MORTGAGE,EDUCATION,Low
54,192700.0,614,0.092,50000.0,15,RENT,MEDICAL,Low
23,56700.0,387,0.373,16800.0,1,MORTGAGE,PERSONAL,High
48,36400.0,505,0.106,10600.0,21,OWN,EDUCATION,Low
43,91400.0,416,0.224,32900.0,9,MORTGAGE,PERSONAL,High
71,99000.0,745,0.126,21900.0,21,MORTGAGE,PERSONAL,Low
61,30600.0,494,0.083,9000.0,15,MORTGAGE,PERSONAL,High
