age,education_num,hours_per_week,workclass,high_income
27,15,55,Private,No
52,9,57,Private,No
23,9,35,Self-Employed,Yes
47,11,43,Public,Yes
27,10,47,Private,Yes
60,11,52,Private,Yes
24,14,55,Private,Yes
48,15,43,Private,Yes
45,12,35,Private,No
23,15,56,Private,No
52,10,57,Private,No
30,12,42,Private,No
64,11,26,Private,Yes
53,9,26,Private,Yes
63,8,38,Private,Yes
38,15,50,Self-Employed,Yes
42,9,49,Self-Employed,No
60,8,58,Public,No
55,15,44,Private,Yes
62,8,44,Private,No
64,12,50,Public,Yes
63,9,44,Public,Yes
34,8,23,Private,No
52,12,56,Public,Yes
43,10,22,Private,No
66,8,37,Self-Employed,Yes
63,9,29,Private,Yes
42,10,23,Private,No
21,8,51,Self-Employed,No
66,12,45,Private,Yes
53,15,23,Public,Yes
41,9,59,Private,Yes
58,10,59,Private,Yes
46,14,37,Public,Yes
48,15,48,Public,Yes
44,11,36,Public,Yes
66,10,24,Public,Yes
33,10,41,Private,No
53,15,28,Private,Yes
64,11,40,Private,No
62,12,35,Self-Employed,Yes
24,11,39,Public,Yes
47,11,28,Private,Yes
53,14,58,Self-Employed,Yes
63,10,22,Private,No
42,8,32,Public,Yes
47,11,43,Private,Yes
55,13,38,Private,Yes
57,12,42,Private,No
33,8,36,Private,Yes
27,10,51,Private,Yes
45,13,44,Self-Employed,Yes
50,11,28,Self-Employed,Yes
59,15,55,Private,Yes
34,9,52,Public,Yes
20,9,36,Private,No
24,13,59,Private,No
41,14,48,Private,Yes
67,11,29,Public,Yes
41,12,31,Public,Yes
38,14,33,Private,Yes
51,10,36,Self-Employed,Yes
21,9,36,Public,No
58,13,48,Private,Yes
20,14,44,Private,No
27,12,21,Private,No
54,15,54,Private,Yes
63,11,53,Public,Yes
31,15,55,Private,No
67,9,42,Private,Yes
55,14,59,Self-Employed,Yes
64,8,53,Private,Yes
26,8,48,Private,No
39,8,59,Private,No
62,14,28,Self-Employed,Yes
45,15,29,Private,No
46,8,55,Private,No
49,9,32,Private,No
26,9,39,Public,No
28,10,41,Private,Yes
48,9,29,Private,Yes
31,12,22,Private,No
22,11,46,Private,Yes
23,9,48,Public,No
30,13,34,Public,Yes
41,10,25,Private,No
51,8,26,Private,No
27,9,52,Self-Employed,No
49,14,20,Private,Yes
27,15,56,Public,Yes
46,13,32,Self-Employed,Yes
65,10,54,Public,Yes
27,13,20,Private,No
25,12,37,Private,No
52,8,49,Private,No
35,12,44,Private,Yes
31,10,30,Private,No
58,13,55,Private,Yes
46,8,42,Private,No
47,9,34,Private,No
56,8,35,Private,No
65,11,34,Self-Employed,Yes
39,14,56,Private,Yes
59,13,31,Private,No
56,8,28,Private,No
49,14,26,Private,Yes
43,14,56,Private,No
62,13,53,Self-Employed,Yes
36,10,21,Private,No
66,13,30,Private,Yes
48,15,20,Self-Employed,No
60,13,51,Private,Yes
48,9,52,Private,No
28,9,44,Private,No
23,11,34,Private,No
46,9,48,Private,Yes
49,9,32,Private,No
61,14,30,Private,Yes
50,8,55,Private,Yes
59,10,25,Private,Yes
26,12,58,Public,No
65,8,26,Private,No
27,15,59,Private,No
43,8,50,Private,Yes
41,12,52,Private,Yes
55,11,31,Private,Yes
65,8,54,Self-Employed,Yes
20,12,59,Private,No
44,15,50,Public,Yes
47,8,47,Private,No
49,12,57,Private,No
40,12,58,Public,Yes
36,15,24,Private,Yes
63,9,48,Public,Yes
63,10,40,Public,No
24,11,22,Private,No
43,9,39,Private,Yes
61,10,33,Private,Yes
56,13,54,Private,Yes
34,11,56,Public,No
50,11,42,Private,Yes
64,11,58,Private,Yes
48,10,21,Private,No
66,10,27,Private,Yes
31,9,34,Private,No
37,12,46,Private,Yes
24,10,54,Private,No
59,8,42,Private,Yes
58,12,28,Private,Yes
28,10,39,Private,Yes
38,11,30,Private,No
60,14,34,Private,Yes
55,13,50,Private,Yes
33,12,41,Private,Yes
25,11,54,Private,Yes
59,9,51,Public,No
23,8,23,Private,No
33,11,42,Private,Yes
61,15,53,Self-Employed,Yes
39,13,41,Private,Yes
35,13,44,Public,Yes
34,9,33,Private,No
34,11,42,Private,No
37,14,23,Private,Yes
41,15,22,Private,Yes
46,10,44,Private,No
47,13,53,Self-Employed,Yes
62,12,26,Private,Yes
58,12,52,Private,Yes
29,8,20,Private,Yes
36,8,58,Private,No
56,9,42,Self-Employed,No
56,15,33,Private,No
22,13,20,Private,Yes
36,10,32,Private,No
61,10,36,Self-Employed,Yes
44,15,31,Private,Yes
61,15,47,Public,Yes
53,14,47,Private,Yes
34,14,21,Private,Yes
39,14,46,Private,Yes
37,10,28,Private,Yes
64,12,25,Private,Yes
64,12,37,Public,Yes
63,10,49,Private,Yes
63,14,21,Private,Yes
57,9,22,Private,No
34,10,44,Private,No
31,14,59,Private,Yes
63,8,59,Private,Yes
35,12,39,Private,No
33,8,28,Private,No
60,9,48,Private,Yes
37,15,49,Private,Yes
48,14,58,Private,Yes
25,8,58,Public,No
63,13,54,Private,Yes
55,13,47,Private,Yes
59,15,35,Self-Employed,Yes
24,15,54,Self-Employed,Yes
24,12,49,Private,Yes
28,12,27,Private,No
35,9,33,Public,No
53,13,57,Public,Yes
36,8,34,Private,No
27,15,55,Private,Yes
27,10,35,Public,No
30,9,27,Private,Yes
32,10,49,Private,No
60,10,47,Private,Yes
20,14,24,Self-Employed,No
52,12,27,Private,Yes
56,9,35,Private,Yes
20,14,28,Private,Yes
46,13,27,Private,Yes
65,12,34,Self-Employed,Yes
55,10,58,Private,No
43,12,49,Private,No
46,13,31,Private,No
31,10,28,Private,No
33,12,27,Private,Yes
57,15,38,Private,Yes
33,15,41,Private,No
67,9,54,Private,Yes
37,10,22,Private,No
20,8,33,Public,No
62,12,52,Private,Yes
45,13,56,Private,No
43,9,31,Private,No
40,12,51,Private,Yes
26,15,26,Self-Employed,Yes
65,10,30,Private,Yes
35,12,38,Public,No
21,12,39,Self-Employed,Yes
63,13,22,Private,Yes
25,14,47,Private,Yes
41,11,42,Private,No
38,8,24,Private,No
66,14,40,Private,Yes
66,14,29,Public,Yes
44,15,27,Self-Employed,Yes
27,8,33,Private,No
65,14,36,Private,Yes
22,8,25,Private,No
63,9,23,Private,No
25,13,42,Private,Yes
26,14,58,Private,Yes
33,13,36,Private,No
59,10,57,Public,Yes
37,13,24,Private,No
20,9,44,Public,No
28,12,22,Private,No
43,9,31,Public,Yes
53,11,26,Private,No
21,9,40,Private,Yes
55,14,34,Private,Yes
36,15,24,Private,Yes
34,15,54,Private,Yes
53,12,41,Private,Yes
48,13,29,Self-Employed,Yes
52,9,39,Private,No
36,14,34,Private,Yes
54,13,37,Private,No
27,10,38,Private,No
45,14,25,Private,Yes
54,10,32,Private,No
49,14,34,Private,Yes
39,8,27,Public,No
23,12,22,Public,No
29,8,22,Public,No
51,9,57,Private,Yes
38,14,34,Private,Yes
26,15,24,Public,Yes
21,14,23,Private,Yes
60,14,33,Self-Employed,Yes
40,9,29,Private,Yes
37,9,27,Private,No
60,10,33,Private,No
66,15,36,Public,Yes
26,14,42,Public,No
35,8,22,Private,No
43,13,49,Private,Yes
38,8,54,Private,Yes
46,10,20,Private,No
21,14,51,Public,No
57,11,38,Private,Yes
34,13,59,Private,Yes
65,13,26,Private,Yes
57,13,59,Private,Yes
66,11,32,Public,Yes
54,14,27,Private,No
