age,monthly_salary,total_experience_years,years_at_company,monthly_overtime_hours,department,job_level,attrition
44,8100.0,12,8,15,Sales,Mid,No
33,8200.0,12,6,7,Engineering,Junior,No
44,10900.0,22,15,12,Engineering,Junior,No
57,11300.0,23,6,21,Sales,Junior,No
44,10600.0,19,17,4,Sales,Senior,No
53,15800.0,31,6,9,Engineering,Senior,No
47,7500.0,12,12,23,Engineering,Mid,Yes
32,5400.0,7,7,4,Sales,Mid,No
36,5400.0,7,0,6,Sales,Senior,Yes
22,3100.0,1,1,21,Sales,Junior,Yes
49,8200.0,16,3,0,Sales,Mid,No
31,5800.0,9,8,17,Sales,Junior,No
52,7900.0,11,10,13,Engineering,Senior,No
44,5500.0,8,8,7,Engineering,Mid,Yes
55,14400.0,29,15,3,HR,Senior,No
46,5700.0,10,10,16,Sales,Junior,Yes
43,9300.0,15,15,9,Engineering,Mid,No
33,7400.0,8,1,14,Engineering,Mid,Yes
58,12400.0,24,13,8,Engineering,Junior,No
23,2900.0,2,2,1,Sales,Junior,Yes
53,11000.0,20,4,8,Sales,Junior,Yes
49,10100.0,18,11,16,Sales,Mid,Yes
43,11500.0,19,3,23,Sales,Mid,Yes
57,8800.0,13,13,10,Sales,Senior,No
22,4300.0,2,2,5,Sales,Mid,No
48,12200.0,23,17,15,Engineering,Junior,No
50,13900.0,24,12,18,Engineering,Mid,Yes
51,7400.0,13,8,4,Engineering,Senior,No
34,3700.0,5,0,1,Engineering,Senior,Yes
59,16900.0,34,1,7,Engineering,Junior,No
51,14000.0,29,8,23,Sales,Mid,No
49,9000.0,13,2,5,Sales,Junior,Yes
39,7200.0,15,15,20,Sales,Junior,No
52,12500.0,28,17,15,Sales,Junior,No
22,4600.0,2,2,13,Sales,Senior,Yes
50,13100.0,22,13,17,Engineering,Junior,No
23,3900.0,2,2,5,Engineering,Senior,No
23,4500.0,2,2,14,Engineering,Mid,Yes
26,4100.0,2,2,17,Engineering,Junior,Yes
28,3800.0,3,3,8,Engineering,Mid,No
24,4400.0,3,0,15,Engineering,Senior,Yes
54,15100.0,30,2,24,Sales,Senior,Yes
22,2500.0,1,1,16,HR,Junior,Yes
35,4300.0,5,5,21,Sales,Junior,Yes
38,9100.0,15,11,0,Engineering,Junior,No
44,7300.0,10,10,8,Engineering,Mid,No
39,9400.0,14,11,9,Engineering,Mid,Yes
27,5700.0,6,6,7,Sales,Junior,No
34,7100.0,11,0,18,Engineering,Mid,Yes
55,7100.0,11,1,18,HR,Junior,Yes
30,5600.0,6,6,3,Engineering,Mid,No
27,5100.0,4,4,3,Engineering,Junior,Yes
24,4400.0,2,2,3,Sales,Senior,Yes
39,9700.0,17,5,10,Sales,Junior,No
53,8800.0,16,5,18,Engineering,Junior,No
54,16800.0,32,19,15,Engineering,Mid,No
42,5900.0,9,9,22,HR,Junior,Yes
55,9600.0,14,11,2,Engineering,Mid,No
55,16700.0,33,4,2,Sales,Junior,No
42,8900.0,10,3,9,HR,Junior,Yes
51,9000.0,16,13,1,Engineering,Junior,No
49,9400.0,18,12,19,Sales,Mid,No
37,6300.0,9,5,15,Engineering,Mid,Yes
52,6700.0,12,12,16,Sales,Junior,Yes
24,4900.0,4,4,7,Sales,Mid,No
59,13500.0,25,14,17,Engineering,Mid,No
33,5500.0,8,8,13,Sales,Junior,No
29,5900.0,7,7,11,HR,Junior,Yes
58,11600.0,23,16,8,Engineering,Junior,No
43,7000.0,12,12,1,Sales,Junior,No
53,6500.0,11,9,5,Sales,Mid,Yes
28,6100.0,5,5,21,Engineering,Mid,No
39,5900.0,6,6,20,Engineering,Mid,No
27,4000.0,4,4,19,Sales,Junior,No
31,6800.0,8,8,11,Engineering,Senior,No
53,8300.0,13,10,21,Sales,Junior,Yes
43,9200.0,18,12,7,HR,Mid,No
36,8300.0,12,10,3,Engineering,Mid,Yes
51,8600.0,11,11,2,Engineering,Junior,No
55,10700.0,20,7,15,Sales,Junior,No
41,9400.0,14,5,11,Engineering,Senior,Yes
47,7800.0,14,8,7,HR,Junior,No
39,8600.0,15,15,15,Sales,Mid,Yes
56,10300.0,15,7,23,Engineering,Mid,No
35,5800.0,5,5,1,Sales,Mid,Yes
29,4500.0,3,3,4,Engineering,Senior,No
31,5500.0,8,8,17,Engineering,Junior,No
53,13600.0,24,7,5,HR,Junior,No
34,8400.0,12,7,1,Sales,Mid,Yes
35,7100.0,10,1,20,Sales,Mid,No
39,10500.0,17,5,13,HR,Senior,No
44,9700.0,17,16,10,HR,Junior,No
25,4800.0,4,4,17,Engineering,Mid,Yes
28,3800.0,2,2,10,Engineering,Mid,No
57,14600.0,31,14,15,Sales,Junior,No
31,4700.0,5,3,17,Sales,Senior,Yes
55,9500.0,16,2,4,Sales,Senior,No
51,14400.0,28,8,12,HR,Junior,No
29,5300.0,3,3,21,Sales,Mid,Yes
33,5900.0,7,3,19,Engineering,Junior,No
30,4200.0,3,3,18,Sales,Mid,No
41,8800.0,15,8,3,Sales,Junior,No
37,6200.0,10,10,16,Engineering,Mid,Yes
46,8500.0,14,1,20,Engineering,Senior,Yes
42,9300.0,14,14,16,Engineering,Mid,No
48,8200.0,16,13,12,Sales,Junior,No
30,6600.0,9,3,23,Engineering,Mid,Yes
56,9600.0,15,7,20,Engineering,Senior,No
37,10400.0,15,6,12,Sales,Senior,No
35,8600.0,11,3,7,Engineering,Senior,No
49,11900.0,22,12,6,Engineering,Junior,No
53,10100.0,19,2,15,Sales,Junior,Yes
45,7100.0,11,9,6,Sales,Senior,No
51,8200.0,14,10,18,Sales,Senior,No
52,10000.0,17,16,2,Engineering,Junior,No
54,12500.0,24,7,9,Sales,Mid,No
46,4900.0,8,6,11,Sales,Junior,Yes
56,8200.0,14,5,18,Sales,Senior,No
41,7700.0,13,13,19,Sales,Senior,Yes
26,5200.0,5,5,6,Sales,Mid,Yes
53,14500.0,30,13,3,Engineering,Senior,No
31,5500.0,6,6,15,Engineering,Junior,Yes
49,8300.0,14,14,0,Engineering,Junior,No
42,9400.0,17,16,12,Engineering,Junior,No
39,10700.0,18,8,1,Engineering,Mid,No
25,4500.0,4,4,0,Engineering,Junior,Yes
22,2700.0,1,1,19,Sales,Junior,Yes
43,8900.0,17,16,11,Engineering,Mid,Yes
54,12500.0,25,7,0,Engineering,Junior,Yes
58,11500.0,23,19,3,Engineering,Mid,No
40,9700.0,16,10,15,HR,Mid,No
31,5600.0,6,5,21,Engineering,Junior,No
47,9400.0,17,13,21,Sales,Mid,No
59,16600.0,33,0,5,Sales,Mid,Yes
35,8100.0,11,9,17,Sales,Mid,No
44,10600.0,17,7,13,Engineering,Mid,No
39,6600.0,6,5,8,Sales,Junior,Yes
52,13500.0,28,8,23,Sales,Senior,Yes
31,7900.0,10,10,7,Engineering,Mid,Yes
32,6800.0,10,10,11,HR,Junior,No
38,7600.0,9,9,8,Sales,Mid,No
48,13900.0,26,16,10,Sales,Junior,Yes
51,12600.0,24,9,12,Sales,Junior,Yes
37,5400.0,8,8,16,Engineering,Mid,Yes
44,8200.0,15,5,7,Engineering,Mid,Yes
58,12200.0,24,16,2,Engineering,Junior,No
23,4000.0,2,2,3,Engineering,Junior,No
34,5200.0,8,8,22,Sales,Mid,No
33,5000.0,7,5,11,Sales,Mid,Yes
59,8100.0,15,15,12,Engineering,Junior,No
29,3400.0,3,3,24,Sales,Junior,No
28,4300.0,4,3,14,Sales,Senior,Yes
52,10300.0,17,8,13,HR,Junior,No
29,4200.0,3,3,20,Sales,Junior,No
57,16000.0,34,9,14,Sales,Junior,No
55,7000.0,15,15,2,Engineering,Junior,No
32,3900.0,5,5,11,Engineering,Mid,No
46,10900.0,17,4,15,Sales,Mid,No
33,7800.0,8,7,6,Sales,Senior,No
39,5000.0,6,6,23,Engineering,Junior,No
56,14000.0,24,18,14,Engineering,Mid,No
50,9600.0,15,4,15,Sales,Mid,No
51,11100.0,20,8,15,Sales,Mid,No
50,14600.0,26,5,9,Sales,Junior,No
42,11700.0,20,13,17,Sales,Junior,Yes
27,5200.0,5,5,9,Sales,Junior,No
33,6100.0,9,9,6,Sales,Junior,No
50,12100.0,25,11,17,Sales,Mid,Yes
36,6400.0,7,7,0,Engineering,Junior,No
52,8100.0,15,15,9,HR,Senior,No
28,4800.0,4,4,16,Sales,Junior,Yes
50,14600.0,27,18,4,Sales,Senior,Yes
58,7300.0,12,2,13,Engineering,Junior,No
27,3800.0,3,3,18,Sales,Senior,No
33,4700.0,5,5,21,Engineering,Junior,No
55,9500.0,17,10,8,Engineering,Mid,No
43,5900.0,9,7,24,HR,Senior,Yes
57,10900.0,16,16,4,Engineering,Junior,No
44,11100.0,20,0,3,Sales,Mid,No
29,5700.0,7,7,3,Sales,Mid,No
38,8400.0,10,10,12,Sales,Junior,Yes
57,12700.0,26,6,21,Engineering,Mid,No
41,8000.0,12,12,17,Engineering,Junior,No
47,7800.0,12,12,16,Sales,Junior,No
40,9400.0,17,0,15,Engineering,Mid,No
36,5800.0,7,7,9,Sales,Mid,Yes
50,14800.0,28,17,15,Engineering,Senior,No
38,5400.0,8,0,8,Engineering,Mid,Yes
53,9500.0,16,3,9,HR,Junior,Yes
35,7100.0,10,4,21,Engineering,Mid,No
56,10300.0,18,4,16,Sales,Mid,No
47,8900.0,15,8,18,Sales,Mid,Yes
57,15000.0,30,12,11,HR,Senior,Yes
54,10000.0,18,17,8,Engineering,Junior,No
51,7000.0,12,9,0,Sales,Senior,No
23,3900.0,2,2,6,Engineering,Junior,Yes
36,6600.0,6,6,5,Sales,Mid,Yes
47,6500.0,11,1,9,Sales,Junior,Yes
26,5400.0,3,3,11,Sales,Senior,Yes
34,8900.0,13,7,2,Sales,Senior,No
58,15800.0,31,13,9,Sales,Senior,Yes
31,4700.0,9,6,20,Sales,Mid,Yes
35,8400.0,13,13,11,HR,Junior,No
57,14800.0,27,8,0,HR,Mid,No
30,5300.0,7,7,7,Engineering,Junior,No
47,12300.0,22,18,2,Sales,Junior,No
55,9500.0,16,5,17,HR,Mid,Yes
35,8700.0,14,1,3,Sales,Junior,No
36,9500.0,13,13,14,Sales,Mid,Yes
43,8400.0,14,14,12,Engineering,Junior,No
35,8500.0,12,4,14,Engineering,Mid,Yes
56,13100.0,24,12,16,HR,Junior,Yes
39,5800.0,8,8,6,Sales,Mid,No
37,7100.0,9,9,11,Engineering,Senior,No
50,9600.0,14,14,10,Sales,Mid,No
44,6200.0,8,1,1,Engineering,Junior,No
43,6700.0,11,11,24,Sales,Senior,No
27,5800.0,4,4,19,Engineering,Junior,No
30,5800.0,7,4,9,Engineering,Mid,No
31,5700.0,8,8,2,Sales,Mid,No
37,9100.0,13,8,0,Sales,Junior,No
28,3100.0,4,4,24,Engineering,Junior,Yes
46,12300.0,24,4,12,Sales,Mid,Yes
54,12400.0,28,17,4,Engineering,Senior,No
30,7200.0,9,6,16,HR,Mid,Yes
55,13200.0,25,10,12,Sales,Senior,No
26,3600.0,3,1,15,Sales,Mid,No
51,14000.0,28,19,23,Sales,Senior,No
42,7100.0,12,3,10,Engineering,Mid,Yes
24,5300.0,4,1,10,HR,Mid,Yes
55,12300.0,22,18,15,Sales,Senior,No
53,9300.0,16,14,9,Engineering,Mid,Yes
55,10300.0,17,12,2,Engineering,Junior,No
43,8500.0,10,10,21,Engineering,Mid,No
39,8900.0,16,2,5,Engineering,Mid,No
27,4400.0,3,3,9,Sales,Junior,Yes
29,6000.0,5,5,15,Sales,Junior,Yes
22,3600.0,2,2,23,Engineering,Junior,Yes
37,6900.0,11,1,12,Sales,Junior,No
39,9200.0,18,18,17,Engineering,Senior,No
38,6400.0,8,5,18,Engineering,Senior,Yes
47,6400.0,8,8,5,Sales,Senior,No
50,13200.0,26,16,6,Engineering,Mid,Yes
50,8000.0,10,10,1,HR,Mid,No
47,10800.0,19,0,3,Sales,Senior,No
57,8300.0,13,3,13,Engineering,Senior,No
48,6600.0,9,9,3,HR,Junior,Yes
49,7600.0,12,12,11,Engineering,Mid,Yes
47,8500.0,13,2,0,Engineering,Junior,No
48,5800.0,9,2,12,Engineering,Junior,No
56,7600.0,12,8,21,Engineering,Senior,No
39,7800.0,13,10,17,HR,Mid,No
31,7600.0,9,9,1,Sales,Junior,No
26,4500.0,4,4,4,Sales,Mid,Yes
24,3000.0,2,2,1,Sales,Senior,No
45,6900.0,12,7,17,Sales,Mid,No
34,4700.0,8,8,13,Engineering,Mid,No
35,8000.0,13,8,11,HR,Senior,Yes
31,6700.0,9,9,12,Sales,Junior,Yes
45,7000.0,11,1,21,Sales,Mid,Yes
46,10800.0,20,9,19,HR,Senior,Yes
55,13500.0,27,4,9,Sales,Junior,No
45,12000.0,21,2,12,Sales,Mid,No
54,12700.0,22,16,14,Engineering,Mid,No
50,13400.0,27,8,19,Engineering,Mid,No
37,7800.0,10,10,3,HR,Mid,No
52,9100.0,15,10,13,Sales,Junior,Yes
59,13500.0,28,10,6,Sales,Mid,Yes
43,6000.0,9,9,22,Sales,Mid,Yes
33,6300.0,9,5,8,Sales,Junior,Yes
33,6000.0,7,7,14,Sales,Mid,Yes
27,3100.0,2,2,1,Engineering,Mid,Yes
38,5400.0,7,2,19,Sales,Junior,Yes
47,10400.0,21,6,10,Engineering,Junior,Yes
30,7100.0,9,3,23,Sales,Mid,No
55,12700.0,21,4,20,Engineering,Junior,Yes
40,10200.0,17,17,16,Sales,Junior,No
33,4900.0,6,6,21,HR,Senior,Yes
26,4400.0,3,3,3,Engineering,Junior,Yes
48,7200.0,12,10,15,Sales,Junior,No
54,12800.0,27,12,23,Sales,Junior,No
37,7500.0,9,9,13,Engineering,Mid,Yes
36,5000.0,8,6,2,Sales,Mid,No
50,13400.0,24,10,6,HR,Mid,No
58,15300.0,27,4,11,Sales,Mid,No
31,5600.0,6,4,23,Engineering,Junior,Yes
46,6900.0,8,8,9,Sales,Junior,Yes
23,2500.0,1,1,4,Sales,Junior,No
26,3300.0,2,2,15,Engineering,Mid,Yes
39,8000.0,12,7,23,Sales,Junior,Yes
45,11800.0,23,13,16,Sales,Senior,Yes
51,10200.0,17,6,7,Engineering,Junior,No
53,11200.0,18,4,1,Engineering,Junior,No
38,9500.0,15,15,19,HR,Junior,No
48,10600.0,21,18,6,Engineering,Junior,No
59,12300.0,27,3,24,Sales,Junior,No
42,8200.0,14,2,4,HR,Mid,No
22,3600.0,2,2,19,HR,Junior,No
46,7200.0,10,10,7,Sales,Junior,No
59,14300.0,27,10,19,Sales,Junior,No
28,4700.0,5,5,3,Sales,Mid,No
44,10000.0,17,3,13,Engineering,Mid,No
37,10000.0,14,3,3,Sales,Senior,Yes
27,4100.0,4,4,15,HR,Junior,Yes
22,4600.0,1,1,1,Sales,Mid,No
22,2500.0,1,1,3,Engineering,Junior,Yes
36,3700.0,6,6,24,Sales,Junior,Yes
49,13700.0,26,7,14,HR,Junior,No
30,5900.0,9,9,14,HR,Mid,Yes
34,8600.0,13,13,2,Engineering,Senior,No
38,6600.0,6,6,14,Sales,Mid,No
36,5700.0,7,7,21,Engineering,Junior,Yes
29,5300.0,5,5,23,Engineering,Junior,Yes
34,7600.0,13,5,2,Sales,Mid,Yes
56,11700.0,24,14,3,Sales,Mid,Yes
22,3400.0,1,1,18,Engineering,Junior,Yes
36,7900.0,10,10,8,Sales,Senior,Yes
52,8900.0,17,9,3,Engineering,Junior,No
23,4000.0,1,1,3,HR,Junior,Yes
56,15800.0,28,16,8,Engineering,Junior,No
30,6800.0,7,7,6,Engineering,Senior,Yes
56,10300.0,20,11,24,Engineering,Senior,No
32,6200.0,10,10,9,Engineering,Mid,Yes
22,2500.0,1,1,18,Engineering,Mid,No
26,5500.0,3,2,13,Engineering,Junior,No
24,2500.0,2,2,3,Sales,Mid,No
41,5700.0,7,7,5,Engineering,Mid,No
44,10400.0,13,7,6,Sales,Mid,No
40,9000.0,14,7,9,Sales,Senior,Yes
24,4100.0,4,4,8,Engineering,Junior,No
43,9500.0,17,17,23,Sales,Junior,Yes
38,9500.0,15,3,9,Sales,Junior,No
31,4800.0,6,6,1,HR,Junior,No
51,9600.0,17,17,14,Engineering,Junior,No
50,9700.0,17,17,0,HR,Mid,No
26,3300.0,3,1,7,Engineering,Senior,No
51,11600.0,20,10,15,Engineering,Senior,No
35,7200.0,11,11,21,Engineering,Mid,Yes
50,9700.0,16,8,6,Engineering,Junior,No
47,11000.0,19,3,21,Sales,Junior,Yes
39,9000.0,15,5,16,Sales,Senior,Yes
36,5200.0,6,6,4,Sales,Junior,Yes
28,5100.0,3,3,21,Engineering,Senior,Yes
34,3300.0,5,5,19,Sales,Senior,Yes
49,8400.0,18,11,9,Engineering,Senior,Yes
35,9800.0,13,13,7,Engineering,Junior,No
52,12100.0,23,13,18,HR,Junior,No
27,4900.0,6,6,3,Sales,Junior,No
24,3800.0,3,3,24,Engineering,Junior,Yes
46,8300.0,13,13,24,Engineering,Junior,No
47,11000.0,24,12,23,Engineering,Mid,No
47,8900.0,11,0,15,Sales,Junior,Yes
59,8200.0,16,1,22,Engineering,Junior,Yes
47,12000.0,20,4,23,Engineering,Mid,No
53,10900.0,19,10,1,Sales,Junior,No
51,9600.0,18,11,2,HR,Junior,No
25,3400.0,3,3,10,Sales,Junior,Yes
50,11000.0,19,4,20,Engineering,Senior,Yes
41,8000.0,14,11,11,Sales,Junior,No
52,11000.0,20,10,3,Sales,Senior,No
50,11900.0,21,8,3,Engineering,Senior,No
38,4200.0,7,7,1,Engineering,Junior,No
59,16000.0,32,19,4,Engineering,Senior,No
34,7300.0,11,5,22,Engineering,Mid,No
26,3600.0,4,4,3,HR,Mid,No
31,7100.0,9,7,0,Sales,Senior,No
26,4400.0,3,3,12,Sales,Mid,Yes
56,9700.0,16,4,21,Engineering,Junior,Yes
24,2800.0,2,2,6,Sales,Mid,Yes
51,9100.0,15,13,4,Engineering,Mid,Yes
56,8100.0,13,8,0,Engineering,Mid,Yes
23,3500.0,1,1,1,Engineering,Mid,No
47,9400.0,16,12,3,Engineering,Junior,No
46,11200.0,17,1,19,HR,Junior,Yes
27,6100.0,6,6,0,Engineering,Senior,No
57,12500.0,23,12,23,Engineering,Junior,No
22,3100.0,1,1,24,Engineering,Senior,Yes
57,12900.0,20,19,11,Sales,Junior,No
47,12100.0,21,12,3,Sales,Mid,No
27,3100.0,3,3,21,HR,Mid,Yes
31,5600.0,8,8,21,Sales,Senior,No
48,14300.0,26,11,2,Engineering,Junior,No
28,6000.0,8,5,6,HR,Mid,No
38,8600.0,14,6,22,Sales,Senior,Yes
45,8700.0,15,4,8,Engineering,Senior,Yes
48,9900.0,16,16,12,Sales,Mid,Yes
52,9900.0,15,13,5,Engineering,Mid,No
28,4400.0,5,5,18,HR,Senior,No
22,3200.0,2,2,8,Engineering,Junior,No
22,2500.0,1,1,2,Engineering,Junior,Yes
35,5200.0,7,1,0,Engineering,Mid,No
36,9200.0,14,12,19,Sales,Mid,Yes
34,7200.0,7,7,4,Sales,Junior,No
23,4800.0,2,2,3,HR,Junior,No
59,15600.0,31,7,7,Engineering,Mid,No
59,12000.0,22,16,20,Sales,Junior,No
42,6400.0,8,5,3,Engineering,Mid,No
44,8900.0,17,5,0,HR,Mid,Yes
41,10700.0,18,2,18,Sales,Junior,Yes
56,14900.0,34,9,22,Sales,Junior,No
35,6900.0,11,10,8,Engineering,Junior,Yes
47,9100.0,13,8,0,Engineering,Junior,No
29,4900.0,5,5,6,Sales,Mid,Yes
54,14800.0,29,19,18,Sales,Junior,No
52,7800.0,11,11,11,Sales,Junior,Yes
53,9900.0,17,6,2,Engineering,Mid,No
22,4000.0,1,1,8,Engineering,Senior,Yes
46,8800.0,12,5,4,Sales,Junior,No
41,7000.0,11,11,8,Sales,Mid,Yes
46,8800.0,18,9,4,Engineering,Senior,No
58,8200.0,14,4,3,Sales,Mid,No
33,7500.0,10,10,12,Engineering,Junior,No
47,7600.0,11,5,18,HR,Junior,No
51,12500.0,23,10,19,Sales,Junior,Yes
45,8600.0,16,7,9,Sales,Mid,Yes
55,13300.0,26,19,5,Sales,Junior,No
50,10200.0,17,9,0,Engineering,Junior,No
51,9900.0,21,4,11,Engineering,Mid,Yes
38,6800.0,10,2,7,Engineering,Junior,No
58,16400.0,35,7,23,Engineering,Mid,No
42,8400.0,15,15,17,Sales,Mid,No
55,11600.0,21,14,24,Engineering,Mid,No
24,3900.0,2,2,22,Engineering,Mid,Yes
22,4500.0,1,1,9,Engineering,Senior,No
57,10500.0,17,13,24,Sales,Junior,No
50,8200.0,10,10,13,Sales,Junior,No
54,9100.0,19,11,13,Sales,Mid,Yes
58,16700.0,35,18,19,Sales,Junior,No
53,14600.0,30,19,15,Engineering,Junior,No
35,5800.0,11,6,13,Sales,Junior,No
36,5600.0,6,4,4,Engineering,Senior,Yes
29,5600.0,5,5,15,Sales,Mid,No
24,5000.0,4,4,6,Sales,Senior,Yes
41,7500.0,14,13,7,Engineering,Junior,No
25,5100.0,4,4,3,Engineering,Senior,No
40,6100.0,8,6,14,Engineering,Junior,Yes
56,16900.0,30,7,14,Sales,Junior,Yes
50,10500.0,21,15,2,Engineering,Mid,No
36,6900.0,11,11,13,Sales,Junior,Yes
33,5800.0,8,8,15,Sales,Junior,No
50,14500.0,27,16,4,Engineering,Mid,No
38,8600.0,12,9,8,Sales,Junior,No
32,6800.0,8,8,19,Sales,Mid,Yes
22,5000.0,1,1,13,Engineering,Junior,Yes
35,7600.0,10,10,23,Engineering,Mid,Yes
22,2500.0,1,1,6,Sales,Junior,Yes
32,4800.0,7,2,12,Engineering,Mid,Yes
41,6600.0,14,6,20,Sales,Mid,No
37,8800.0,14,4,2,Sales,Junior,Yes
40,7300.0,14,14,19,Sales,Junior,No
40,6200.0,8,8,5,Sales,Junior,Yes
33,6400.0,10,6,2,Engineering,Senior,Yes
41,10300.0,18,15,6,Sales,Junior,Yes
44,9700.0,17,17,15,Sales,Junior,No
46,8200.0,15,8,4,Engineering,Mid,Yes
23,3200.0,1,1,12,Sales,Junior,Yes
53,11500.0,21,13,23,Engineering,Mid,No
31,4000.0,6,4,20,Sales,Mid,Yes
43,8300.0,14,0,0,Sales,Junior,No
40,7700.0,8,8,5,Engineering,Mid,Yes
55,14000.0,28,6,12,Sales,Senior,No
24,4000.0,3,3,23,Engineering,Mid,Yes
28,3900.0,4,4,23,Engineering,Senior,Yes
28,3300.0,3,2,15,Sales,Junior,Yes
40,6200.0,8,8,0,Sales,Mid,No
28,5600.0,6,2,12,Engineering,Senior,No
54,15400.0,27,5,14,Engineering,Junior,No
58,7300.0,12,12,8,Engineering,Junior,Yes
33,5200.0,6,1,18,Sales,Junior,Yes
31,5500.0,7,5,3,Engineering,Mid,No
51,10900.0,24,19,23,Engineering,Mid,No
32,5900.0,9,1,0,Engineering,Mid,No
27,4900.0,5,2,3,Engineering,Senior,No
42,5900.0,7,7,15,Sales,Mid,Yes
42,6700.0,7,7,23,Engineering,Junior,Yes
59,12200.0,22,10,13,Engineering,Mid,No
23,5000.0,3,3,24,Sales,Mid,Yes
27,4200.0,5,1,5,Sales,Senior,Yes
41,7300.0,11,5,20,Engineering,Senior,No
52,10800.0,23,12,17,Sales,Senior,Yes
42,7100.0,14,11,0,Sales,Mid,No
56,10700.0,20,9,1,Engineering,Senior,Yes
52,14000.0,24,9,1,Engineering,Mid,No
57,15800.0,30,15,17,Sales,Junior,Yes
47,9900.0,17,5,3,Engineering,Junior,No
58,8500.0,13,0,19,Engineering,Junior,Yes
29,5700.0,8,8,17,Sales,Mid,Yes
29,6400.0,8,8,24,Engineering,Junior,Yes
42,11100.0,20,3,16,Engineering,Junior,No
39,8500.0,13,13,5,HR,Junior,Yes
48,11500.0,22,12,21,Sales,Mid,No
45,8200.0,13,11,15,Sales,Mid,No
38,9300.0,15,15,15,Engineering,Junior,Yes
23,3700.0,2,2,24,Engineering,Junior,Yes
46,10300.0,17,4,24,Sales,Junior,No
42,7700.0,12,5,3,Sales,Mid,Yes
37,6500.0,5,5,2,Sales,Mid,Yes
24,3600.0,3,3,22,Sales,Mid,Yes
40,6400.0,11,11,2,HR,Senior,No
29,3700.0,6,6,23,Engineering,Junior,Yes
59,11700.0,22,7,15,Sales,Senior,No
31,8000.0,10,10,7,Engineering,Mid,Yes
38,8000.0,15,0,1,HR,Senior,Yes
33,4800.0,4,4,16,Engineering,Mid,Yes
39,4900.0,6,4,14,Sales,Senior,Yes
39,8400.0,15,7,4,Sales,Mid,No
28,6500.0,6,5,0,HR,Mid,No
25,5700.0,5,5,24,Engineering,Senior,Yes
27,4100.0,3,3,12,Sales,Mid,Yes
50,10400.0,17,10,15,Engineering,Junior,No
51,10400.0,22,11,12,Engineering,Mid,Yes
22,3600.0,1,1,23,Sales,Mid,No
58,10600.0,21,19,3,Sales,Mid,Yes
42,6800.0,7,7,13,Sales,Junior,Yes
39,4300.0,6,6,14,Sales,Mid,Yes
30,5800.0,7,7,2,Sales,Junior,Yes
